n_layers,n_latent,resolution,n_clusters,n_small_clusters,silhouette,calinski_harabasz,davies_bouldin,dn_im_mean,dn_im_max,pool_im_mean,pool_im_max,mean_sum,max_sum,score
5,10,0.45,8,1,0.101056772954675,1832.44659032729,1.86364483279954,0.116,0.714,0.083,0.48,0.199,1.194,-1.38668538080891
5,40,0.5,11,2,0.0816494283812727,1480.11827713554,1.73533375105684,0.103,0.714,0.089,0.48,0.192,1.194,-1.40387803286763
5,10,0.5,10,1,0.0708879618589631,1642.81583805162,1.73568976157035,0.109,0.714,0.088,0.48,0.197,1.194,-1.41154022239549
5,10,0.4,9,2,0.0873531586542193,1643.37693458476,1.77909450909818,0.128,0.714,0.086,0.48,0.214,1.194,-1.41638744552636
5,20,0.15,4,2,0.127329914098984,976.638538866399,1.62298535250915,0.207,0.668,0.152,0.406,0.359,1.074,-1.41913669420861
5,30,0.5,11,2,0.0749591784769097,1450.8144853723,1.75084067423057,0.114,0.714,0.087,0.48,0.201,1.194,-1.42258416467753
5,20,0.1,4,2,0.121267699555062,951.194857750402,1.60040017786788,0.207,0.668,0.152,0.406,0.359,1.074,-1.42421257534421
5,30,0.45,9,2,0.0844351403862929,1519.24192216246,1.77670336800475,0.123,0.714,0.101,0.48,0.224,1.194,-1.43527310030606
5,40,0.45,11,2,0.0735979129906114,1468.57166824018,1.75702390065654,0.119,0.714,0.097,0.48,0.216,1.194,-1.43867589366303
5,30,0.6,14,3,0.0598165024690244,1293.39083916422,1.73832810121143,0.11,0.714,0.087,0.48,0.197,1.194,-1.44034676569391
5,50,0.1,3,1,0.119636249458473,1240.69728911401,1.88817739102941,0.226,0.668,0.136,0.406,0.362,1.074,-1.44314662518877
5,10,0.35,8,2,0.0743114781602964,1565.47643961827,1.89062854099486,0.124,0.714,0.089,0.48,0.213,1.194,-1.44347755395828
5,30,0.4,8,2,0.0904027816466176,1567.06175869496,1.85708564255709,0.136,0.714,0.099,0.48,0.235,1.194,-1.44595269467434
5,10,0.3,5,2,0.127537446790276,1686.90632682679,1.70927619105495,0.175,0.714,0.133,0.48,0.308,1.194,-1.46104485597388
5,10,0.2,5,2,0.129118556166121,1655.81990840491,1.70775826107069,0.176,0.714,0.133,0.48,0.309,1.194,-1.4618662745207
5,40,0.25,6,2,0.084831233544099,1435.06428981191,1.90388415930545,0.138,0.714,0.097,0.48,0.235,1.194,-1.46280396789585
10,50,0.35,14,2,0.0702678593912572,2988.23853736506,1.3235480896013,0.08,0.593,0.088,0.801,0.168,1.394,-1.47467502270062
5,30,0.35,7,2,0.089518721268713,1445.46981461524,1.95464029697781,0.144,0.714,0.106,0.48,0.25,1.194,-1.47767181769831
5,50,0.5,9,2,0.0673669832482933,1334.9428028377,1.83471134027163,0.119,0.714,0.116,0.48,0.235,1.194,-1.47835701063698
5,30,0.25,6,2,0.0953610761238747,1586.57309477465,1.83202394284456,0.159,0.714,0.118,0.48,0.277,1.194,-1.47951266342185
5,30,0.3,6,2,0.0969912060887431,1572.13667457018,1.84389313107809,0.159,0.714,0.12,0.48,0.279,1.194,-1.48179127329056
5,30,0.2,5,2,0.108141506164653,1428.27181272618,1.79275161105553,0.178,0.714,0.135,0.48,0.313,1.194,-1.50672006430459
5,40,0.2,5,2,0.106302925992353,1426.25788077662,1.84702203920658,0.173,0.714,0.137,0.48,0.31,1.194,-1.51108638388947
2,10,0.2,5,2,0.115808537069097,855.153498569529,1.66710826090176,0.183,0.714,0.137,0.48,0.32,1.194,-1.5221446140926
2,10,0.3,7,2,0.0752491604918454,1166.59946643064,1.97408497969478,0.156,0.714,0.112,0.48,0.268,1.194,-1.5258293641561
2,10,0.5,11,3,0.0573407514156005,1064.37211769417,1.97408595445055,0.142,0.714,0.106,0.48,0.248,1.194,-1.52884923814475
2,10,0.6,11,2,0.0544676663101163,1086.3414516864,2.05048838973337,0.144,0.714,0.105,0.48,0.249,1.194,-1.5392641000789
2,10,0.35,8,2,0.0613585216888952,1090.40091024572,2.10294156094559,0.146,0.714,0.112,0.48,0.258,1.194,-1.54641558889338
2,10,0.4,9,2,0.052370700823174,1108.10991251343,2.07651649958509,0.15,0.714,0.109,0.48,0.259,1.194,-1.55287545350966
2,10,0.45,9,2,0.052332474235434,1084.04898128526,2.10328929885233,0.15,0.714,0.107,0.48,0.257,1.194,-1.55479400658554
5,30,0.15,4,2,0.121507807742102,996.484762770687,1.5606114923174,0.218,0.714,0.166,0.48,0.384,1.194,-1.5627291033511
5,30,0.1,4,2,0.121363303838534,994.875997404681,1.5590104679159,0.218,0.714,0.166,0.48,0.384,1.194,-1.56279394308282
5,40,0.15,4,2,0.117181996236535,963.58159073572,1.57544931737319,0.215,0.714,0.176,0.48,0.391,1.194,-1.577183855964
2,10,0.25,6,2,0.0599886511196334,977.525199090361,2.1134798541818,0.161,0.714,0.12,0.48,0.281,1.194,-1.57748307434403
5,40,0.1,4,2,0.116549211512255,962.620818948649,1.56948906518861,0.223,0.714,0.177,0.48,0.4,1.194,-1.58626865405917
2,10,0.1,3,1,0.11989796401361,1216.405192391,1.87021639399693,0.241,0.714,0.161,0.48,0.402,1.194,-1.60230341576653
2,10,0.15,3,1,0.120463652101001,1219.52863443978,1.88881545897019,0.241,0.714,0.161,0.48,0.402,1.194,-1.60344146207403
2,30,0.35,6,2,0.0522732685385545,621.118868879229,2.66649839431924,0.156,0.714,0.114,0.48,0.27,1.194,-1.64732062744941
