n_layers,n_latent,resolution,n_clusters,silhouette,calinski_harabasz,davies_bouldin,score
2,10,0.1,3,0.138023629784584,1422.49426269531,1.74510841877142,-0.184590526291524
5,30,0.1,4,0.139442935585976,1129.50122070313,1.45449376510705,-0.185549608817946
5,50,0.3,6,0.099144957959652,1750.51904296875,2.06036583175414,-0.210701830825738
5,50,0.25,7,0.0720857828855515,1366.65490722656,1.65344740351795,-0.214706713405838
5,50,0.6,12,0.0859962627291679,1497.76086425781,1.81300237111101,-0.229245244124033
5,30,0.6,13,0.0811540931463242,1399.48559570313,1.72347197665714,-0.242832287807686
5,30,0.3,7,0.091509073972702,1384.89343261719,1.72927898038361,-0.252876473793724
5,10,0.35,7,0.0967758372426033,1471.21826171875,1.83047670181322,-0.262482602851865
5,30,0.5,10,0.0802379846572876,1503.4130859375,1.87517397883007,-0.291522908235281
5,30,0.15,5,0.126623973250389,991.579406738281,1.41450713964368,-0.29630375965501
5,30,0.25,5,0.109894059598446,1450.9462890625,1.87491159545739,-0.314071246796446
5,10,0.3,6,0.112012788653374,1441.3388671875,1.87261332843129,-0.319261672590414
5,30,0.2,5,0.121452361345291,1034.51599121094,1.48967910615444,-0.333710753598216
5,10,0.2,5,0.113495618104935,1162.34521484375,1.63257747996213,-0.356736647013449
5,20,0.2,5,0.112813241779804,1407.87170410156,1.88191076476255,-0.361225818881183
5,10,0.45,8,0.0913998559117317,1369.46240234375,1.82957064186901,-0.368708383613529
5,50,0.2,5,0.107719622552395,1397.31018066406,1.88252592625508,-0.377496123038624
2,10,0.15,5,0.129425048828125,1042.84167480469,1.57441311449149,-0.402146390858679
5,10,0.4,8,0.0889331698417664,1427.35571289063,1.95259112858268,-0.436302245850288
5,20,0.4,9,0.0784469023346901,1303.69738769531,1.82064317908486,-0.438498889054858
5,50,0.1,3,0.124959200620651,1272.6552734375,1.84388515429385,-0.4462706802357
5,50,0.15,3,0.126218020915985,1408.82287597656,1.9878718632889,-0.452830966396354
5,20,0.6,11,0.0849342569708824,1348.6884765625,1.90375955292276,-0.470136819389381
