n_layers,n_latent,resolution,n_clusters,n_small_clusters,silhouette,calinski_harabasz,davies_bouldin,dn_im_mean,dn_im_max,pool_im_mean,pool_im_max,score
8,40,0.35,10,1,0.0785418166217581,2251.50442054831,1.49612566828485,0.096,0.682,0.073,0.43,-1.23949552917931
8,40,0.3,10,2,0.109719696897207,2153.80271326266,1.53605005463973,0.113,0.682,0.082,0.43,-1.24319517290363
8,20,0.15,7,2,0.150980971803384,2804.99762545664,1.33694289421448,0.135,0.699,0.112,0.456,-1.24446343634523
8,50,0.2,8,2,0.112295230113378,2207.24641785949,1.40552980982449,0.119,0.683,0.093,0.432,-1.2448954299761
8,40,0.45,13,1,0.0684760065509154,2026.26489619777,1.59848098893805,0.082,0.682,0.061,0.43,-1.245058847533
8,20,0.45,17,1,0.051279763137237,2621.46091929445,1.35322775379377,0.076,0.699,0.064,0.456,-1.24796996627742
8,20,0.6,20,1,0.0543208059832571,2477.55435864736,1.42115234993563,0.07,0.699,0.06,0.456,-1.24891671107794
8,40,0.4,11,1,0.0669225580277031,2135.9574541832,1.49902100715252,0.09,0.682,0.072,0.43,-1.25018166997839
8,20,0.25,11,2,0.0692363898890442,2861.1051500586,1.32179413459375,0.096,0.699,0.081,0.456,-1.2518877660674
8,20,0.1,5,1,0.144987765935408,3353.34563769829,1.502979068502,0.155,0.699,0.105,0.456,-1.25264285902988
8,20,0.5,17,2,0.0407557376759323,2596.09388859376,1.36795081897718,0.072,0.699,0.061,0.456,-1.2542346497921
5,30,0.4,10,3,0.0925396756385488,1474.54784570089,1.74546047181419,0.096,0.668,0.076,0.406,-1.25427897925783
8,50,0.6,16,2,0.0541743334508447,1947.79225856671,1.50196762454571,0.082,0.683,0.06,0.432,-1.25563281607539
5,10,0.5,11,1,0.0818420400494953,1408.65924854081,1.80910176421024,0.089,0.668,0.064,0.406,-1.25563517394449
5,30,0.6,12,1,0.0927476781330218,1519.16421013233,1.85049163268798,0.104,0.668,0.062,0.406,-1.25634327462916
8,40,0.25,8,2,0.115541533314899,2247.7975640838,1.59881171855249,0.125,0.683,0.09,0.432,-1.26194976033616
8,50,0.4,10,2,0.0681711255068776,2051.86663249716,1.53399795502505,0.094,0.683,0.071,0.432,-1.26263533837077
5,30,0.45,10,3,0.0933752776805979,1418.61063202154,1.79123117972695,0.098,0.668,0.076,0.406,-1.26281730869102
8,20,0.3,13,1,0.0342011159601338,2739.5260488105,1.31375490240618,0.083,0.699,0.067,0.456,-1.26519807183996
12,30,0.5,19,2,0.0350311577975306,2314.29824074545,1.51622818083745,0.062,0.7,0.054,0.458,-1.27487674824894
